service_id,date,exception_type
DEC24-D02CAR-1_Weekday-KINGMS1,20250211,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250211,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250212,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250212,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250212,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250212,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250213,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250213,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250213,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250213,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250214,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250214,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250214,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250214,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250217,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250217,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250217,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250217,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250217,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250217,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250218,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250218,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250218,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250218,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250219,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250219,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250219,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250219,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250220,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250220,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250220,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250220,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250221,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250221,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250221,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250221,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250224,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250224,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250224,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250224,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250225,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250225,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250225,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250225,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250226,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250226,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250226,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250226,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250227,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250227,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250227,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250227,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250228,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250228,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250228,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250303,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250303,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250303,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250303,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250304,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250304,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250304,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250304,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250305,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250305,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250305,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250305,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250306,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250306,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250306,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250306,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250307,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250307,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250307,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250307,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250310,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250310,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250310,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250310,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250311,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250311,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250311,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250311,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250312,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250312,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250312,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250312,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250313,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250313,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250313,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250313,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250314,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250314,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250314,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250314,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250317,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250317,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250317,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250317,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250318,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250318,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250318,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250318,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250319,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250319,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250319,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250319,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250320,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250320,2
